unique_id,instrument,bjd,rv,rv_err,fwhm,contrast,BIS
00443734,Hermes,56282.416577,-8.542,0.038,16.6485777184,0.38,-1.15597776246
00444097,Hermes,56283.3233566,0.0583688458756,0.058,20.7930609976,0.34,-1.86268624834
00444102,Hermes,56283.3850134,0.761737691751,0.061,21.2169286057,0.33,-1.97195482388
00444105,Hermes,56283.4203342,1.12136884588,0.063,21.4759588107,0.32,-2.04842463136
00444357,Hermes,56284.3246076,-18.185,0.058,20.9108019999,0.24,-0.0555706184968
00444362,Hermes,56284.3735346,-21.2142623082,0.057,20.7224163963,0.23,0.112450913415
00444365,Hermes,56284.4039608,-22.9591844229,0.058,20.6753199954,0.23,0.280469164413
00491601,Hermes,56545.3474573,-8.92763115412,0.04,16.4837403152,0.38,-1.21258645073
00491606,Hermes,56545.3910887,-8.54726230825,0.04,16.6956741193,0.37,-1.21915568859
00491625,Hermes,56545.4549003,-8.04718442294,0.04,17.0253489256,0.37,-1.22910788068
00491639,Hermes,56545.5494226,-7.265,0.04,17.519861135,0.37,-1.22456506089
00491654,Hermes,56545.6720216,-6.26081557706,0.041,18.1321143467,0.36,-1.19291299805
00491661,Hermes,56545.7589221,-5.54581557706,0.042,18.5559819548,0.36,-1.14861118592
00491754,Hermes,56546.3569252,0.753368845876,0.061,21.1698322048,0.32,-1.99179770333
00491771,Hermes,56546.4280766,1.47781557706,0.065,21.6172480134,0.32,-2.08945262033
00491777,Hermes,56546.4892046,2.07892211469,0.069,22.0646638219,0.31,-2.19453846052
00491793,Hermes,56546.6348211,3.066,0.077,23.0772364413,0.29,-2.40286934507
00491798,Hermes,56546.6690334,3.20936884588,0.078,23.3127184458,0.28,-2.44133851816
00491806,Hermes,56546.7462857,3.219,0.082,23.8072306553,0.27,-2.53034534621
00491891,Hermes,56547.3506385,-23.2825532688,0.062,20.7459645967,0.23,0.273741780086
00491895,Hermes,56547.3810424,-24.9063688459,0.063,20.6282235945,0.22,0.404045282358
00491901,Hermes,56547.439143,-27.649,0.065,20.3691933895,0.21,0.612143026301
00491914,Hermes,56547.4951815,-29.8031844229,0.066,20.1808077859,0.21,0.742086818923
00492011,Hermes,56548.4358241,-30.9551844229,0.049,17.9437287431,0.25,0.193974107567
00492114,Hermes,56548.508518,-30.3101844229,0.047,17.7082467386,0.26,0.151952019533
00492170,Hermes,56548.6424114,-29.134,0.044,17.2372827296,0.27,0.0969869476403
